1. 
        city_name         | state_nm | origin_destination |                   unique_carrier_name                   | passengers 
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        101
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        110
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        281
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        155
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        149
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        150
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        148
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |       9463
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |       1341
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |          0
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |        129
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |          4
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |       5771
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |      22113
 Denver, CO                | Colorado | DEN                | Delta Air Lines Inc.                                    |      21215
 Colorado Springs, CO      | Colorado | COS                | Delta Air Lines Inc.                                    |        139
 Colorado Springs, CO      | Colorado | COS                | Delta Air Lines Inc.                                    |        160
 Durango, CO               | Colorado | DRO                | Empire Airlines Inc.                                    |          0
 Denver, CO                | Colorado | DEN                | Endeavor Air Inc.                                       |        139
 Montrose/Delta, CO        | Colorado | MTJ                | Envoy Air                                               |        146
 Grand Junction, CO        | Colorado | GJT                | Envoy Air                                               |       5171
 Montrose/Delta, CO        | Colorado | MTJ                | Envoy Air                                               |         48
 Montrose/Delta, CO        | Colorado | MTJ                | ExpressJet Airlines Inc.                                |        916
 Denver, CO                | Colorado | DEN                | ExpressJet Airlines Inc.                                |         47
 Colorado Springs, CO      | Colorado | COS                | ExpressJet Airlines Inc.                                |         47
 Colorado Springs, CO      | Colorado | COS                | ExpressJet Airlines Inc.                                |       1158
 Colorado Springs, CO      | Colorado | COS                | ExpressJet Airlines Inc.                                |        962
 Colorado Springs, CO      | Colorado | COS                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Grand Junction, CO        | Colorado | GJT                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Grand Junction, CO        | Colorado | GJT                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Grand Junction, CO        | Colorado | GJT                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Colorado Springs, CO      | Colorado | COS                | Federal Express Corporation                             |          0
 Hayden, CO                | Colorado | HDN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Durango, CO               | Colorado | DRO                | Federal Express Corporation                             |          0
 Grand Junction, CO        | Colorado | GJT                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Federal Express Corporation                             |          0
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4019
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4253
